,intent,source,target
1371,airline,please show me airlines with service from boston to denver,O O O O O O O B-fromloc.city_name O B-toloc.city_name
1372,airfare,what are the fares for flights between atlanta and dfw provided by delta airlines,O O O O O O O B-fromloc.city_name O B-toloc.airport_code O O B-airline_name I-airline_name
1373,airfare,show me one more time the first class fares from baltimore to dallas,O O O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name
1374,flight,what are my choices of flights to get from charlotte to minneapolis arriving about 7 pm in minneapolis,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-toloc.city_name
1375,flight,tell me the flights from baltimore to dallas,O O O O O B-fromloc.city_name O B-toloc.city_name
1376,flight,i want to find a flight from boston to atlanta,O O O O O O O B-fromloc.city_name O B-toloc.city_name
1377,ground_service,ground transportation between airport and downtown in boston,O O O O O O O B-toloc.city_name
1378,flight,what 're the flights from memphis to las vegas that arrive on a sunday,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_date.day_name
1379,flight,i would like to fly from dallas to san francisco on saturday and arrive in san francisco before 4 pm,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
1380,flight,what are the flights from dallas to boston for tomorrow night or evening,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.today_relative B-depart_time.period_of_day B-or B-depart_time.period_of_day
1381,flight,flight from denver to boston,O O B-fromloc.city_name O B-toloc.city_name
1382,flight,show me the flights from san francisco to dallas on continental airlines,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
1383,flight,find me flights that are nonstop between boston and dallas,O O O O O B-flight_stop O B-fromloc.city_name O B-toloc.city_name
1384,airfare,show me the fare from dallas to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1385,flight,i want to know what flights you have available coach or economy class from baltimore to dallas,O O O O O O O O O B-class_type B-or B-economy I-economy O B-fromloc.city_name O B-toloc.city_name
1386,flight,show me american flights from dallas to san francisco,O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1387,flight,what is the cheapest flight from pittsburgh to atlanta one way,O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
1388,airfare,show prices for all flights from baltimore to dallas on july twenty ninth,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
1389,flight,what flights are available from dallas fort worth to atlanta,O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
1390,flight,looking for flights in toronto to san diego,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1391,flight,what do you have tomorrow after 5 o'clock from atlanta to san francisco,O O O O B-depart_date.today_relative B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1392,flight,what flight leaves dallas for atlanta on august twenty seventh in the evening,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day
1393,flight,list all flights from boston to oakland,O O O O B-fromloc.city_name O B-toloc.city_name
1394,flight,what 's the latest flight from san francisco to atlanta,O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
1395,flight,philadelphia to boston monday,B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name
1396,flight,i want a flight from los angeles to charlotte that leaves on a weekday morning,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-depart_date.day_name B-depart_time.period_of_day
1397,ground_service,ground transport in denver,O O O B-city_name
1398,flight,i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name O O B-depart_time.period_of_day O O O B-arrive_time.time I-arrive_time.time
1399,ground_service,what ground transportation is available in baltimore for the day after tomorrow,O O O O O O B-city_name O B-today_relative I-today_relative I-today_relative I-today_relative
1400,flight,i would like an afternoon flight leaving tuesday san diego to indianapolis,O O O O B-depart_time.period_of_day O O B-depart_date.day_name B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
1401,flight,what is the earliest flight on thursday from atlanta to washington dc,O O O B-flight_mod O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code
1402,flight,what is the latest flight leaving washington for denver,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
1403,flight,find travel arrangements for a round trip flight from dallas to pittsburgh arriving after 8 pm before 10 pm,O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
1404,flight,give me a flight from charlotte to baltimore on tuesday morning,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
1405,flight,i 'm looking for flights from pittsburgh to philadelphia leaving before 9 am,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
1406,abbreviation,what is fare code qo mean,O O O O B-fare_basis_code O
1407,flight,what flights are there from baltimore to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1408,flight,i would like to fly from salt lake city back to st. petersburg on wednesday,O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
1409,flight,i would like an afternoon flight from denver colorado to dallas texas,O O O O B-depart_time.period_of_day O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name
1410,ground_fare,how much is a limousine between dallas fort worth international airport and dallas,O O O O B-transport_type O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name
1411,flight,can you list all flights from chicago to st. louis that depart after 12 noon,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
1412,flight,afternoon flights from boston to san francisco please that leave in the afternoon,B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-depart_time.period_of_day
1413,flight,i 'd like flight information from dallas fort worth to boston on tuesday,O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
1414,ground_service,ground transportation in phoenix,O O O B-city_name
1415,flight,i want to go from boston to washington on monday morning,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
1416,aircraft,display types of aircraft departing from cleveland to dallas before noon,O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time
1417,ground_service,what do you know about car rental in denver,O O O O O B-transport_type I-transport_type O B-city_name
1418,flight,flights from montreal,O O B-fromloc.city_name
1419,airline,what is airline nw,O O O B-airline_code
1420,flight,display all flights leaving from toronto to san diego on us air laying over in washington dc,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name O O O B-stoploc.city_name B-stoploc.state_code
1421,ground_service,i 'd like a limo in denver on august seventh,O O O O B-transport_type O B-fromloc.city_name O B-depart_date.month_name B-depart_date.day_number
1422,flight,i would like to fly from dallas to denver on the morning of august twenty seventh leaving at 650,O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.time
1423,flight,i need a flight tonight from charlotte to las vegas with a stop in st. louis and i want dinner,O O O O B-depart_date.today_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name O O O B-meal_description
1424,flight,when can i fly from philadelphia to dallas on a saturday morning,O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day
1425,flight,give me the continental flights from seattle,O O O B-airline_name O O B-fromloc.city_name
1426,abbreviation,what is fare code h,O O O O B-fare_basis_code
1427,ground_service,ground transportation in baltimore,O O O B-city_name
1428,flight,show me the flights from pittsburgh to philadelphia,O O O O O B-fromloc.city_name O B-toloc.city_name
1429,flight,what continental flights go from chicago to seattle before 10 am in the morning that have a meal,O B-airline_name O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O O B-depart_time.period_of_day O O O B-meal
1430,flight,show me the latest flight from denver to boston,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
1431,flight,show me all flights between san francisco and philadelphia for september fifteenth,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
1432,flight,what flights from toronto to philadelphia,O O O B-fromloc.city_name O B-toloc.city_name
1433,flight,show me wednesday afternoon flights from denver to san francisco,O O B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1434,airfare,how much does it cost to fly on american from dallas to baltimore,O O O O O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name
1435,airfare,what is the cheapest one way fare between boston and oakland,O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
1436,quantity,how many fares are there one way from tacoma to montreal,O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name
1437,flight,flight from denver to philadelphia,O O B-fromloc.city_name O B-toloc.city_name
1438,flight,i 'd like to fly early tomorrow from columbus to minneapolis,O O O O O B-depart_time.period_mod B-depart_date.today_relative O B-fromloc.city_name O B-toloc.city_name
1439,flight,show me the economy flights from baltimore to dallas,O O O B-economy O O B-fromloc.city_name O B-toloc.city_name
1440,flight,show me flights from pittsburgh to dc,O O O O B-fromloc.city_name O B-toloc.state_code
1441,flight,philadelphia to san francisco next week tuesday show the flights,B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.date_relative O B-depart_date.day_name O O O
1442,flight,what is the earliest nonstop flight from washington to san francisco,O O O B-flight_mod B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1443,flight,can you show me flights from baltimore to dallas,O O O O O O B-fromloc.city_name O B-toloc.city_name
1444,flight,flight from milwaukee to chicago,O O B-fromloc.city_name O B-toloc.city_name
1445,abbreviation,what does ewr stand for,O O B-airport_code O O
1446,flight,i would like information on flights from dallas fort worth to atlanta on wednesday morning,O O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
1447,flight,what are the dinner flights from indianapolis to san diego on wednesday may twelfth,O O O B-meal_description O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number
1448,flight,show me flights from denver to philadelphia,O O O O B-fromloc.city_name O B-toloc.city_name
1449,flight,show me delta flights from dallas to denver,O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
1450,ground_service,tell me about ground transportation at salt lake city,O O O O O O B-city_name I-city_name I-city_name
1451,city,where is general mitchell international located,O O B-airport_name I-airport_name I-airport_name O
1452,flight,show me flights from philadelphia to denver on a monday,O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name
1453,airfare,us 3724 baltimore to philadelphia what is the fare,B-airline_code B-flight_number B-fromloc.city_name O B-toloc.city_name O O O O
1454,flight,okay can you tell me the flight cost between denver and atlanta,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name
1455,abbreviation,what does ls stand for,O O B-meal_code O O
1456,flight,show me all flights from charlotte to columbus,O O O O O B-fromloc.city_name O B-toloc.city_name
1457,flight,list the flights on friday afternoon from philadelphia to oakland,O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name
1458,airport,describe pittsburgh airport,O B-airport_name I-airport_name
1459,flight,show me the flights from love field,O O O O O B-fromloc.airport_name I-fromloc.airport_name
1460,flight,i would like to book a flight for august twenty seventh from baltimore to san francisco on us air,O O O O O O O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
1461,flight,what flights land at general mitchell international,O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name
1462,flight,i want all flights from atlanta to washington dc on thursday,O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name
1463,airfare,please show me fares from denver to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1464,ground_service,what limousine service in toronto,O B-transport_type O O B-city_name
1465,airfare,show me round trip fares from new york to miami,O O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
1466,ground_service,how long does the ground transportation take from the salt lake city airport,O O O O O O O O O B-airport_name I-airport_name I-airport_name I-airport_name
1467,flight,newark to cleveland daily,B-fromloc.city_name O B-toloc.city_name B-flight_days
1468,flight,i would like to schedule a flight on american airlines from philadelphia to san francisco that makes a stop in denver,O O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-stoploc.city_name
1469,flight,i 'm interested in flying from boston to atlanta,O O O O O O B-fromloc.city_name O B-toloc.city_name
1470,airline,what airline is the flight originating in atlanta on november seventh at noon and arriving in san francisco at 210 pm,O O O O O O O B-fromloc.city_name O B-depart_date.month_name B-depart_date.day_number O B-depart_time.time O O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time I-arrive_time.time
1471,flight,list all flights from washington dc to tampa florida,O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name
1472,flight,show me the flights from boston to dallas,O O O O O B-fromloc.city_name O B-toloc.city_name
1473,flight,i want a flight from milwaukee to orlando one way leaving after 5 pm on wednesday,O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.day_name
1474,flight,which flights from pittsburgh to atlanta have the lowest coach class fares,O O O B-fromloc.city_name O B-toloc.city_name O O B-cost_relative B-class_type I-class_type O
1475,flight,i 'd like to know the earliest flight from boston to san francisco,O O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1476,ground_service,can you rent a car at stapleton international airport in denver,O O O O B-transport_type O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O B-fromloc.city_name
1477,flight,okay i 'd like a flight from boston to san francisco that leaves before 8 am,O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
1478,flight,i want to go from denver to atlanta round trip and make a stop at pittsburgh may i have the cheapest fare,O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O O O O O B-stoploc.city_name O O O O B-cost_relative O
1479,flight,is there a delta flight from boston to denver,O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
1480,flight,i would like to fly delta airlines from atlanta to pittsburgh,O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
1481,flight,which flights are between boston and baltimore washington,O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name
1482,flight,i would like to fly from denver to pittsburgh and atlanta,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name
1483,flight,on a breakfast flight from philadelphia to dallas via atlanta,O O B-meal_description O O B-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name
1484,airfare,what is the cheapest fare one way between pittsburgh and denver,O O O B-cost_relative O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name
1485,flight,do you have flights from st. petersburg to toronto on monday,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
1486,flight,list flights from boston to pittsburgh leaving early in the morning on august sixth,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_mod O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number
1487,abbreviation,what is mco,O O B-airport_code
1488,flight,please show me flights from dallas to denver,O O O O O B-fromloc.city_name O B-toloc.city_name
1489,flight,i need a flight on thursday before 8 am from oakland to salt lake city,O O O O O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
1490,flight,show me flights from boston to san francisco arriving before 1 pm,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
1491,flight,what is the last flight from washington to boston,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
1492,flight,is there a flight between oakland and boston with a stopover in dallas fort worth on twa,O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name O B-airline_code
1493,flight,i would like a nonstop flight from philadelphia to pittsburgh,O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name
1494,flight,i would like a nonstop flight from memphis to las vegas on march second,O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number
1495,flight,what 's the earliest flight from nashville to tacoma on american on tuesday the eighteenth of may,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-airline_name O B-depart_date.day_name O B-depart_date.day_number O B-depart_date.month_name
1496,flight,show me the evening flights from philadelphia to baltimore,O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
1497,flight,are there any nonstop flights leaving from dallas to baltimore july seventh with who united airlines,O O O B-flight_stop O O O B-fromloc.city_name O B-toloc.city_name B-arrive_date.month_name B-arrive_date.day_number O O B-airline_name I-airline_name
1498,flight,show flights from cleveland to miami that arrive before 4 pm,O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
1499,flight,do you have a twa flight leaving early in the morning to san francisco from denver,O O O O B-airline_code O O B-depart_time.period_mod O O B-depart_time.period_of_day O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name
1500,airfare,what is the cheapest coach fare from dallas to denver round trip,O O O B-cost_relative B-class_type O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
1501,flight,what flights are there from milwaukee to phoenix on saturday,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
1502,flight,what are the early morning flights from boston to denver,O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
1503,airfare,i would like to find the cheapest one way fare from boston to oakland,O O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
1504,flight,what is the latest flight from washington dc to denver,O O O B-flight_mod O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name
1505,flight,flights from pittsburgh to baltimore between 10 am and 2 pm,O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time
1506,aircraft,what planes does united use,O O O B-airline_name O
1507,flight,show me all flight from san francisco to oakland,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
1508,flight,find travel arrangements for a round trip flight from boston to pittsburgh,O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
1509,flight,does american airline fly from denver to pittsburgh,O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name
1510,flight,show me all daily flights between milwaukee and orlando,O O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name
1511,flight,list flights from denver to san francisco no denver to philadelphia,O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name O B-toloc.city_name
1512,flight,i would like a flight on continental airlines leaving from boston making a stop in denver and arriving in san francisco,O O O O O O B-airline_name I-airline_name O O B-fromloc.city_name O O O O B-stoploc.city_name O O O B-toloc.city_name I-toloc.city_name
1513,flight,show me the flights from chicago to indianapolis,O O O O O B-fromloc.city_name O B-toloc.city_name
1514,flight,all flights to baltimore after 12 pm,O O O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
1515,flight,do you have a flight on wednesday from denver to washington dc nonstop,O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code B-flight_stop
1516,flight,i 'd like to fly from boston to fort worth,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1517,ground_service,show me the ground transportation to westchester county,O O O O O O B-city_name I-city_name
1518,airline,what airlines service pittsburgh airport,O O O B-airport_name I-airport_name
1519,flight_time,please list the flight times from pittsburgh to newark,O O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name
1520,airfare,what is the fare on november seventh going one way from pittsburgh to philadelphia,O O O O O B-depart_date.month_name B-depart_date.day_number O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name
1521,flight,flying from pittsburgh to atlanta on september fourth what would be the cheapest flight,O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O O O O B-cost_relative O
1522,airfare,what 's the fare from washington to boston,O O O O O B-fromloc.city_name O B-toloc.city_name
1523,flight,does delta airlines fly from pittsburgh to atlanta,O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name
1524,flight,show me the flights from boston to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1525,flight,do you have a united flight from dallas to san francisco,O O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1526,flight,show me all flights from philadelphia to denver on sunday which leave philadelphia after noon,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time
1527,flight,show me flights from dallas to san francisco on wednesdays,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
1528,aircraft,what type of aircraft leaves from boston to washington dc at 9 am,O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_time.time I-depart_time.time
1529,flight,flights on twa from columbus to st. louis,O O B-airline_code O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1530,flight,what are the flights from cleveland to indianapolis for wednesday the twelfth,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.day_number
1531,flight,i want to travel from philadelphia to boston on wednesday afternoon,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
1532,flight,i 'd like to go from detroit to san diego on wednesday evening june second,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day B-depart_date.month_name B-depart_date.day_number
1533,flight,show me flights from denver to boston on thursday,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
1534,flight,i want the list of daily flights from milwaukee to st. louis,O O O O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1535,airfare,how much does a first class ticket cost from boston to san francisco round trip,O O O O B-class_type I-class_type O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-round_trip I-round_trip
1536,airfare,please show me the cost of flight ua 201 from boston to denver and flight ua 343 from boston to denver,O O O O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name
1537,flight,show flights leaving miami to cleveland on us air that leave after noon,O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.time_relative B-depart_time.time
1538,flight,please show me flights from atlanta to oakland california on thursday after 1600 hours,O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
1539,flight,all flights from washington dc to san francisco after 5 pm on november twelfth economy class,O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.month_name B-depart_date.day_number B-economy I-economy
1540,flight,earliest flight on american airlines from washington dc to san francisco,B-flight_mod O O B-airline_name I-airline_name O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name
1541,flight,what flights do you have from boston to pittsburgh on wednesday of next week after 6 pm,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.date_relative O B-depart_time.time_relative B-depart_time.time I-depart_time.time
1542,flight,list the wednesday flights from denver to baltimore arriving in baltimore between 1115 am and 1245 pm,O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time
1543,flight,what is the earliest flight from boston to dallas fort worth leaving august eighth,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
1544,airfare,what 's the first class fare round trip from atlanta to denver,O O O B-class_type I-class_type O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name
1545,airfare,what are the first class fares from boston to pittsburgh on thursday,O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
1546,flight,flights from montreal to las vegas,O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1547,flight,i need to go from boston to dallas,O O O O O B-fromloc.city_name O B-toloc.city_name
1548,flight,what are the afternoon flights for denver to san francisco,O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1549,flight,list the flights from denver to baltimore,O O O O B-fromloc.city_name O B-toloc.city_name
1550,flight,what nonstop flights are available from oakland to pittsburgh,O B-flight_stop O O O O B-fromloc.city_name O B-toloc.city_name
1551,flight,what are my options for a minneapolis back to indianapolis flight around noontime,O O O O O O B-fromloc.city_name O O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time
1552,flight,show me the flights from san diego to newark,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
1553,flight,okay i want a flight originating in denver going to pittsburgh,O O O O O O O B-fromloc.city_name O O B-toloc.city_name
1554,flight,what are all flights from philadelphia to denver on wednesdays,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
1555,flight,what flights are available friday from san francisco to boston,O O O O B-depart_date.day_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
1556,flight,show me all flights from pittsburgh to boston which leave before noon,O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time
1557,flight,i need to take ten people from denver to phoenix please give me the flights during the week,O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-flight_mod I-flight_mod I-flight_mod
1558,flight,i would like to travel from boston to denver early in the morning,O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.period_mod O O B-depart_time.period_of_day
1559,flight,what flights from salt lake city to las vegas,O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
1560,ground_service,list ground transportation in detroit,O O O O B-city_name
1561,capacity,what 's the capacity of an f28,O O O O O O B-aircraft_code
1562,flight,what flights are available tuesday afternoon from pittsburgh to atlanta,O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name
1563,flight,nonstop or connecting flights from seattle to boston,B-flight_stop B-or B-connect O O B-fromloc.city_name O B-toloc.city_name
1564,flight,what flights from cincinnati to tampa,O O O B-fromloc.city_name O B-toloc.city_name
1565,flight,all flights from denver colorado to pittsburgh pennsylvania,O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name
1566,abbreviation,what does ea mean,O O B-airline_code O
